선수명,생년월일,출신교,출신,연도,팀명,타율,경기,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도실,볼넷,사구,삼진,병살,실책
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2009,히어로즈,0.249,114,281,28,70,12,0,3,91,37,3,2,28,3,49,4,5
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2010,넥센,0.23,97,269,24,62,9,0,3,80,34,0,2,17,2,31,13,6
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2011,넥센,0.235,33,81,4,19,4,1,1,28,10,1,0,5,0,11,4,0
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2012,넥센,0.211,12,19,2,4,0,0,0,4,1,0,0,0,1,4,0,0
강규철,1974년 05월 05일,북일고-경희대,한국,1997,OB,0.167,36,36,4,6,0,0,0,6,0,0,1,1,1,5,1,5
강규철,1974년 05월 05일,북일고-경희대,한국,1998,OB,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
강규철,1974년 05월 05일,북일고-경희대,한국,1999,두산,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강규철,1974년 05월 05일,북일고-경희대,한국,2000,두산,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강규철,1974년 05월 05일,북일고-경희대,한국,2001,두산,0.3,8,10,2,3,0,0,1,6,3,0,0,0,0,2,0,1
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1989,삼성,0.322,95,351,48,113,12,4,1,136,33,26,6,17,3,34,2,6
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1990,삼성,0.271,108,391,59,106,16,3,15,173,58,24,8,33,3,34,12,5
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1991,삼성,0.303,68,228,30,69,14,3,6,107,26,10,4,19,4,20,6,4
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1992,삼성,0.304,126,405,68,123,19,3,16,196,56,13,4,29,7,35,8,12
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1993,삼성,0.325,102,379,60,123,15,2,16,190,75,20,9,26,2,24,8,6
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1994,삼성,0.244,107,332,35,81,12,3,4,111,36,12,7,35,6,37,9,13
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1995,삼성,0.271,55,177,25,48,4,0,3,61,19,6,4,16,0,20,8,3
강기웅,1964년 02월 25일,수창초-경상중-대구고-영남대-삼성,한국,1996,삼성,0.167,11,24,3,4,3,0,0,7,1,0,0,0,0,5,1,0
강남규,1968년 08월 04일,영남대,한국,1991,쌍방울,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
강대호,1974년 08월 15일,계명대,한국,1997,한화,0.178,28,45,4,8,1,0,1,12,6,0,1,7,1,19,1,0
강대호,1974년 08월 15일,계명대,한국,1998,롯데,0.2,12,15,1,3,0,0,0,3,1,0,0,0,1,6,0,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,1998,삼성,0.3,123,414,74,124,23,8,10,193,30,22,7,42,1,68,5,1
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2000,삼성,0.1,13,20,3,2,0,0,0,2,0,1,0,8,0,5,0,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2001,삼성,0.251,125,347,54,87,15,2,6,124,42,6,1,49,3,44,9,2
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2002,삼성,0.288,130,466,75,134,23,3,9,190,49,11,6,46,1,76,9,4
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2003,삼성,0.266,130,443,61,118,19,4,9,172,57,8,4,53,5,51,17,4
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2004,삼성,0.295,132,438,59,129,22,1,3,162,49,9,5,49,2,45,13,1
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2005,삼성,0.24,125,367,61,88,15,3,6,127,38,9,1,43,3,68,8,1
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2006,두산,0.249,118,393,36,98,12,2,2,120,34,8,6,47,2,54,9,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2007,두산,0.163,25,43,1,7,1,1,1,13,6,0,1,4,1,4,1,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2008,KIA,0.1,45,40,8,4,1,0,0,5,5,0,1,8,1,6,0,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2009,한화,0.302,128,506,88,153,30,2,10,217,48,27,3,69,1,58,6,2
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2010,한화,0.252,98,309,45,78,8,1,4,100,22,14,6,43,1,33,10,1
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2011,한화,0.288,133,518,83,149,13,3,13,207,51,17,15,62,2,71,9,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2012,한화,0.253,76,257,35,65,16,1,2,89,22,1,2,26,0,21,5,0
강동우,1974년 04월 20일,칠성초-경상중-경북고-단국대-삼성-두산-KIA-한화,한국,2013,한화,0.212,26,52,4,11,1,1,0,14,3,0,0,7,0,7,1,0
강두곤,1969년 04월 29일,경남대,한국,1992,삼성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강두곤,1969년 04월 29일,경남대,한국,1993,삼성,0.125,15,24,4,3,1,0,0,4,3,1,0,1,0,2,3,1
강두곤,1969년 04월 29일,경남대,한국,1994,삼성,0.222,7,9,0,2,0,0,0,2,0,1,0,1,0,2,1,0
강두곤,1969년 04월 29일,경남대,한국,1995,삼성,0.179,51,39,7,7,2,0,0,9,1,0,0,2,2,8,0,4
강민규,1975년 10월 10일,성남고-원광대-쌍방울,한국,1998,쌍방울,0.4,7,5,0,2,1,0,0,3,1,0,0,0,0,2,0,1
강민규,1975년 10월 10일,성남고-원광대-쌍방울,한국,1999,쌍방울,0.197,84,137,20,27,3,2,2,40,15,8,1,9,1,36,0,2
강민규,1975년 10월 10일,성남고-원광대-쌍방울,한국,2001,LG,0.209,38,43,6,9,1,0,1,13,6,0,3,3,1,13,0,1
강병선,1965년 05월 09일,경희대,한국,1988,MBC,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
강병수,1984년 04월 16일,일본 후꾸지야마 세이비고-한화,일본,2009,한화,0,16,11,3,0,0,0,0,0,0,0,0,2,0,7,0,0
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2002,현대,0.208,89,130,16,27,3,1,6,50,20,0,2,11,3,35,5,1
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2003,현대,0.138,43,65,6,9,0,1,2,17,11,0,1,12,1,17,1,4
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2004,현대,0.176,16,17,0,3,1,0,0,4,1,1,0,3,0,5,1,0
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2005,현대,0.247,94,182,25,45,10,0,6,73,20,2,0,27,4,44,6,3
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2006,현대,0.218,93,133,16,29,7,1,4,50,25,1,1,19,4,28,7,2
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2007,현대,0.274,91,135,11,37,4,0,4,53,17,0,1,13,0,24,5,3
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2008,우리,0.269,71,119,12,32,8,0,4,52,17,0,2,14,3,18,2,2
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2009,히어로즈,0.25,54,76,9,19,4,0,2,29,14,2,2,13,3,21,0,3
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2010,넥센,0.287,107,251,32,72,9,1,9,110,30,2,2,34,11,51,5,0
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2011,넥센,0.174,77,167,16,29,8,1,2,45,17,2,0,15,2,53,3,0
강병식,1977년 04월 23일,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,한국,2012,넥센,0.2,26,30,4,6,2,0,0,8,2,1,1,5,1,9,0,0
강석,1974년 07월 01일,경기고,한국,1994,쌍방울,0,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1989,빙그레,0.289,70,135,23,39,11,0,5,65,24,1,3,11,1,24,3,3
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1990,빙그레,0.281,113,356,67,100,24,1,12,162,49,16,6,47,4,72,3,17
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1991,빙그레,0.275,126,465,72,128,21,4,11,190,57,17,10,40,9,53,11,24
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1992,빙그레,0.257,109,393,57,101,21,5,12,168,54,9,5,28,3,46,13,18
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1993,빙그레,0.249,76,269,33,67,16,1,9,112,38,12,6,16,5,48,8,7
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1994,한화,0.227,46,150,24,34,8,0,3,51,13,5,6,14,7,23,7,5
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1995,한화,0.245,81,257,33,63,10,3,4,91,16,12,3,15,2,33,8,4
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1996,한화,0.286,113,357,44,102,15,2,4,133,49,18,10,30,6,53,12,8
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1997,한화,0.322,123,447,66,144,19,4,7,192,34,17,9,37,7,40,9,2
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1998,한화,0.276,125,471,58,130,23,5,6,181,42,20,7,16,12,51,12,5
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,1999,한화,0.303,130,433,65,131,22,2,5,172,42,24,10,33,16,56,16,22
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,2000,한화,0.286,123,433,57,124,24,2,7,173,49,15,8,34,10,61,18,21
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,2001,한화,0.26,120,407,44,106,18,1,2,132,45,19,9,29,4,68,9,19
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,2002,한화,0.289,94,242,27,70,11,1,6,101,28,7,3,20,2,51,9,0
강석천,1967년 12월 07일,신탄진초-한밭중-대전고-인하대-빙그레-한화,한국,2003,한화,0.167,8,18,0,3,2,0,0,5,3,0,0,1,0,5,1,0
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1992,롯데,0.303,94,201,25,61,11,1,2,80,31,0,1,15,4,22,6,8
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1993,롯데,0.195,62,149,6,29,4,0,1,36,18,0,1,7,2,21,2,3
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1994,롯데,0.286,76,189,14,54,10,2,0,68,23,2,0,7,1,24,7,4
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1995,롯데,0.222,75,158,13,35,4,1,0,41,12,2,1,10,0,15,3,5
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1996,롯데,0.221,73,145,13,32,5,1,2,45,21,1,3,16,2,25,4,2
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1997,롯데,0.199,79,171,10,34,4,0,0,38,13,2,2,9,2,37,4,3
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1998,롯데,0.158,73,133,9,21,2,2,0,27,5,0,1,5,2,23,2,3
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,1999,롯데,0.283,112,191,12,54,6,1,1,65,17,0,1,7,0,16,6,3
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,2000,롯데,0.192,51,78,5,15,0,0,0,15,3,0,0,4,1,11,2,0
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,2001,SK,0.16,110,188,11,30,7,0,0,37,13,2,0,15,1,31,6,6
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,2002,SK,0.216,62,88,2,19,2,0,0,21,8,0,0,2,0,10,4,5
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,2003,SK,0.264,39,53,5,14,1,0,0,15,3,0,0,3,1,10,3,1
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,2004,SK,0.16,30,25,4,4,1,0,0,5,0,0,0,2,0,3,0,0
강성우,1970년 01월 05일,대신초-대신중-경남상고-단국대-롯데-SK,한국,2005,SK,0.278,22,18,1,5,4,0,0,9,0,0,0,0,0,4,2,0
강신창,1974년 11월 10일,동아대,한국,1997,OB,0.5,6,4,1,2,0,0,0,2,1,0,1,0,0,1,0,0
강신창,1974년 11월 10일,동아대,한국,1998,OB,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
강영수,1965년 02월 10일,대구상고-한양대,한국,1989,삼성,0.145,57,117,16,17,3,0,4,32,13,1,2,22,0,33,3,9
강영수,1965년 02월 10일,대구상고-한양대,한국,1990,삼성,0.237,71,198,29,47,4,0,10,81,33,2,2,20,3,49,2,5
강영수,1965년 02월 10일,대구상고-한양대,한국,1991,OB,0.238,107,303,42,72,11,2,15,132,47,2,3,53,1,76,4,13
강영수,1965년 02월 10일,대구상고-한양대,한국,1992,OB,0.217,118,351,53,76,13,2,18,147,61,7,3,70,7,86,5,6
강영수,1965년 02월 10일,대구상고-한양대,한국,1993,OB,0.221,103,244,23,54,12,3,7,93,29,0,1,38,2,55,8,4
강영수,1965년 02월 10일,대구상고-한양대,한국,1994,OB,0.213,66,169,16,36,6,0,4,54,19,1,1,18,1,37,8,1
강영수,1965년 02월 10일,대구상고-한양대,한국,1995,태평양,0.243,121,415,71,101,17,1,21,183,68,3,1,60,2,105,12,4
강영수,1965년 02월 10일,대구상고-한양대,한국,1996,현대,0.167,45,72,4,12,3,0,1,18,6,0,0,13,1,18,1,0
강영수,1973년 06월 19일,연세대,한국,1996,OB,0.222,35,72,7,16,5,0,1,24,3,2,0,2,1,15,2,0
강영수,1965년 02월 10일,대구상고-한양대,한국,1997,쌍방울,0.209,64,86,8,18,4,0,4,34,18,2,1,12,0,30,2,0
강영수,1965년 02월 10일,대구상고-한양대,한국,1998,쌍방울,0.226,76,137,12,31,10,0,2,47,17,0,0,23,0,35,2,1
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,1995,한화,0.22,104,246,17,54,6,2,1,67,22,1,5,32,15,55,1,9
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,1996,한화,0.22,50,50,6,11,1,0,1,15,5,0,0,8,3,10,0,1
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,1997,한화,0.185,84,108,8,20,1,0,0,21,6,0,3,14,6,22,1,7
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,1998,한화,0,24,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,1999,한화,0.221,55,68,6,15,3,0,0,18,3,1,1,16,2,15,3,6
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2000,한화,0.28,81,118,17,33,4,0,0,37,9,1,0,21,0,25,3,4
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2001,한화,0.247,104,223,20,55,8,0,6,81,28,2,0,30,4,50,7,8
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2002,두산,0.294,38,51,4,15,1,0,0,16,1,2,0,4,0,10,0,0
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2003,두산,0.291,67,179,17,52,9,0,0,61,17,0,3,18,1,28,4,2
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2004,두산,0.238,79,160,13,38,7,0,0,45,23,0,0,10,3,35,0,5
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2005,두산,0.286,18,28,5,8,1,0,0,9,5,0,0,5,1,8,0,0
강인권,1972년 06월 26일,신흥초-충남중-대전고-한양대-한화-두산,한국,2006,두산,0.25,6,16,1,4,0,0,0,4,0,0,0,0,0,6,1,0
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1986,빙그레,0.258,63,186,11,48,8,0,1,59,19,2,2,16,1,25,5,3
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1987,빙그레,0.265,90,230,19,61,12,1,0,75,19,2,6,29,4,35,2,6
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1988,빙그레,0.284,98,299,43,85,16,1,4,115,32,7,3,26,10,26,11,6
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1989,빙그레,0.284,119,341,38,97,17,3,4,132,48,4,2,31,6,27,10,9
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1990,빙그레,0.267,107,296,31,79,16,0,2,101,32,2,3,35,3,30,8,7
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1991,빙그레,0.285,115,284,35,81,18,2,13,142,60,2,2,42,3,60,8,9
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1992,빙그레,0.263,119,357,39,94,15,1,14,153,63,0,5,58,5,47,13,1
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1993,빙그레,0.242,104,273,26,66,9,0,6,93,42,3,4,50,2,38,6,3
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1994,한화,0.258,121,364,41,94,16,1,6,130,50,5,2,45,10,42,9,7
강정길,1962년 07월 25일,경북고-영남대-빙그레,한국,1995,한화,0.249,101,241,19,60,7,0,2,73,22,1,1,19,1,32,11,1
강정남,1960년 08월 14일,광주상고-동국대,한국,1984,해태,0.1,22,50,5,5,3,0,0,8,2,0,0,2,1,13,0,1
강종필,1967년 02월 28일,계명대,한국,1989,삼성,0.125,50,40,5,5,1,0,0,6,3,6,3,1,0,11,1,0
강종필,1967년 02월 28일,계명대,한국,1990,삼성,0.091,20,11,2,1,0,0,0,1,0,1,1,0,1,3,0,0
강종필,1967년 02월 28일,계명대,한국,1991,삼성,0.264,111,258,42,68,7,3,8,105,29,15,3,28,3,50,8,4
강종필,1967년 02월 28일,계명대,한국,1994,삼성,0.232,61,56,13,13,1,0,1,17,3,4,2,6,3,19,0,1
강종필,1967년 02월 28일,계명대,한국,1995,삼성,0.259,46,27,5,7,0,0,1,10,2,5,2,3,2,10,0,0
강종필,1967년 02월 28일,계명대,한국,1996,쌍방울,0.262,75,103,26,27,4,0,3,40,10,4,1,8,2,27,1,1
강종필,1967년 02월 28일,계명대,한국,1997,쌍방울,0.232,64,69,18,16,4,0,2,26,7,4,3,9,1,28,1,0
강준기,1973년 04월 28일,동국대,한국,1996,LG,0.25,4,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0
강진규,1968년 05월 30일,연세대,한국,1991,LG,0.105,20,38,2,4,0,0,0,4,1,0,0,1,0,6,0,2
강진규,1968년 05월 30일,연세대,한국,1992,LG,0.154,16,13,4,2,0,0,0,2,0,0,0,1,0,4,1,1
강태윤,1965년 09월 15일,일본 근기대,일본,1993,삼성,0.253,50,87,5,22,1,0,1,26,7,0,0,10,0,17,2,0
강태윤,1965년 09월 15일,일본 근기대,일본,1994,삼성,0.309,35,68,3,21,4,0,1,28,8,0,1,7,1,10,2,0
강태윤,1965년 09월 15일,일본 근기대,일본,1995,삼성,0.17,39,53,3,9,0,0,0,9,3,0,1,4,1,12,0,0
강필선,1972년 05월 31일,군산상고-연세대-현대,한국,1999,현대,0.273,3,11,2,3,1,0,1,7,1,0,0,0,0,2,0,1
강필선,1972년 05월 31일,군산상고-연세대-현대,한국,2000,현대,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강필선,1972년 05월 31일,군산상고-연세대-현대,한국,2001,현대,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,1999,두산,0.15,15,20,4,3,2,0,0,5,2,0,0,3,0,5,0,0
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,2000,두산,0.266,110,342,39,91,21,0,6,130,34,1,2,31,1,58,12,4
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,2001,SK,0.252,57,202,25,51,10,0,7,82,39,0,2,21,1,25,4,1
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,2002,SK,0.149,31,47,3,7,2,0,0,9,2,0,0,2,0,13,1,0
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,2003,SK,0.294,117,197,22,58,8,0,4,78,23,1,3,14,3,16,5,5
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,2004,SK,0.191,88,115,5,22,2,0,1,27,15,0,0,10,0,22,4,0
강혁,1974년 08월 25일,백운초-신일중-신일고-한양대-두산-SK,한국,2007,SK,0,10,7,1,0,0,0,0,0,0,0,0,4,0,2,1,0
강현철,1968년 02월 15일,계명대,한국,1992,롯데,0,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0
강현철,1968년 02월 15일,계명대,한국,1993,롯데,0.333,5,6,1,2,0,1,0,4,0,0,0,1,0,3,0,0
강형석,1968년 01월 07일,건국대,한국,1990,OB,0.077,15,13,0,1,0,0,0,1,1,0,0,1,0,5,1,0
강형석,1968년 01월 07일,건국대,한국,1991,OB,0.262,31,42,5,11,2,3,0,19,3,1,0,2,0,8,2,0
강형석,1968년 01월 07일,건국대,한국,1992,OB,0.238,52,80,9,19,3,1,3,33,13,1,0,7,2,16,0,1
강형석,1968년 01월 07일,건국대,한국,1993,OB,0.276,21,29,4,8,2,0,0,10,2,1,1,4,1,3,0,1
강형석,1968년 01월 07일,건국대,한국,1995,OB,0.172,28,29,3,5,1,0,0,6,2,1,0,4,0,6,2,0
강형석,1968년 01월 07일,건국대,한국,1996,OB,0.224,90,196,24,44,9,2,2,63,20,6,2,17,14,31,5,1
강형석,1968년 01월 07일,건국대,한국,1997,OB,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
강호규,1970년 04월 28일,강릉고,한국,1990,태평양,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0
강효섭,1973년 11월 16일,군산상고,한국,1993,쌍방울,0.333,5,9,0,3,0,0,0,3,0,0,0,0,0,1,0,0
강효섭,1973년 11월 16일,군산상고,한국,1994,쌍방울,0.16,30,25,2,4,0,0,0,4,1,3,0,2,0,6,0,3
강효섭,1973년 11월 16일,군산상고,한국,1995,쌍방울,0.2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0
강효섭,1973년 11월 16일,군산상고,한국,1996,쌍방울,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
계기범,1970년 12월 29일,홍익대,한국,1993,태평양,0.267,8,15,2,4,0,0,1,7,3,0,1,1,0,5,1,0
계기범,1970년 12월 29일,홍익대,한국,1994,태평양,0.262,40,107,14,28,4,1,0,34,10,4,2,2,0,20,3,1
계기범,1970년 12월 29일,홍익대,한국,1995,태평양,0.107,21,28,2,3,0,0,1,6,3,0,0,3,0,9,0,1
